x,y,outer_radius,inner_radius,num_peaks,color,rotation_angle,outline,linewidth,image_width,image_height,background_color,plot_function,file_name
0.45,0.47,0.37,0.18,4,midnightblue,330.0,interpolate,3,200,200,steelblue,draw_star,0.png
0.45,0.55,0.43,0.13,3,springgreen,300.0,interpolate,2,200,200,tomato,draw_star,1.png
0.5,0.45,0.45,0.1,7,maroon,90.0,interpolate,3,200,200,slategray,draw_star,2.png
0.54,0.46,0.41,0.22,6,floralwhite,60.0,interpolate,3,200,200,burlywood,draw_star,3.png
0.46,0.55,0.41,0.16,6,coral,330.0,interpolate,1,200,200,mediumaquamarine,draw_star,4.png
0.51,0.55,0.45,0.2,4,paleturquoise,270.0,interpolate,1,200,200,khaki,draw_star,5.png
0.55,0.45,0.43,0.19,7,peachpuff,60.0,interpolate,1,200,200,lightslategray,draw_star,6.png
0.46,0.45,0.45,0.12,4,grey,120.0,interpolate,3,200,200,crimson,draw_star,7.png
0.49,0.46,0.37,0.14,3,silver,210.0,interpolate,2,200,200,darkmagenta,draw_star,8.png
0.5,0.49,0.45,0.16,4,darkseagreen,60.0,interpolate,2,200,200,lawngreen,draw_star,9.png
0.53,0.5,0.41,0.22,6,mediumturquoise,300.0,interpolate,2,200,200,darkred,draw_star,10.png
0.48,0.54,0.39,0.1,6,mintcream,120.0,interpolate,2,200,200,lightblue,draw_star,11.png
0.52,0.52,0.43,0.13,3,lawngreen,90.0,interpolate,1,200,200,aquamarine,draw_star,12.png
0.52,0.54,0.39,0.1,4,red,240.0,interpolate,3,200,200,burlywood,draw_star,13.png
0.47,0.51,0.43,0.1,7,springgreen,0.0,interpolate,3,200,200,orange,draw_star,14.png
0.54,0.51,0.37,0.1,3,lightseagreen,240.0,interpolate,2,200,200,khaki,draw_star,15.png
0.47,0.52,0.37,0.12,3,palegreen,330.0,interpolate,2,200,200,lightsalmon,draw_star,16.png
0.55,0.54,0.35,0.1,7,coral,0.0,interpolate,1,200,200,palegoldenrod,draw_star,17.png
0.46,0.52,0.37,0.1,4,navy,120.0,interpolate,1,200,200,gray,draw_star,18.png
0.5,0.5,0.37,0.1,4,powderblue,0.0,interpolate,2,200,200,blanchedalmond,draw_star,19.png
0.52,0.54,0.37,0.1,3,darkorange,240.0,interpolate,3,200,200,pink,draw_star,20.png
0.55,0.46,0.43,0.16,7,yellowgreen,240.0,interpolate,1,200,200,mediumaquamarine,draw_star,21.png
0.49,0.55,0.39,0.12,4,mistyrose,180.0,interpolate,3,200,200,mintcream,draw_star,22.png
0.54,0.45,0.39,0.15,3,yellow,270.0,interpolate,2,200,200,mediumseagreen,draw_star,23.png
0.5,0.45,0.41,0.14,4,forestgreen,270.0,interpolate,3,200,200,wheat,draw_star,24.png
0.48,0.54,0.45,0.16,4,darkorchid,60.0,interpolate,2,200,200,gray,draw_star,25.png
0.53,0.48,0.35,0.18,4,sandybrown,330.0,interpolate,3,200,200,papayawhip,draw_star,26.png
0.53,0.52,0.39,0.19,6,lightpink,270.0,interpolate,1,200,200,green,draw_star,27.png
0.49,0.5,0.35,0.13,3,darkorchid,270.0,interpolate,1,200,200,linen,draw_star,28.png
0.55,0.52,0.45,0.15,3,thistle,120.0,interpolate,1,200,200,mintcream,draw_star,29.png
0.54,0.46,0.37,0.1,4,oldlace,60.0,interpolate,3,200,200,floralwhite,draw_star,30.png
0.52,0.54,0.37,0.2,4,darkgrey,0.0,interpolate,3,200,200,burlywood,draw_star,31.png
0.51,0.45,0.45,0.1,3,darkred,30.0,interpolate,2,200,200,lightgoldenrodyellow,draw_star,32.png
0.53,0.53,0.45,0.12,3,whitesmoke,150.0,interpolate,3,200,200,orangered,draw_star,33.png
0.55,0.53,0.39,0.16,6,slategray,300.0,interpolate,3,200,200,mediumaquamarine,draw_star,34.png
0.48,0.52,0.43,0.16,7,darkblue,90.0,interpolate,1,200,200,lemonchiffon,draw_star,35.png
0.45,0.51,0.41,0.18,4,lightslategray,180.0,interpolate,2,200,200,mediumvioletred,draw_star,36.png
0.53,0.46,0.37,0.2,4,palevioletred,30.0,interpolate,2,200,200,darkgrey,draw_star,37.png
0.55,0.49,0.37,0.13,7,seagreen,30.0,interpolate,1,200,200,darkgrey,draw_star,38.png
0.52,0.49,0.41,0.13,3,darkorchid,240.0,interpolate,1,200,200,forestgreen,draw_star,39.png
0.53,0.49,0.35,0.25,6,lightcoral,90.0,interpolate,3,200,200,red,draw_star,40.png
0.49,0.49,0.45,0.25,5,darkmagenta,90.0,interpolate,1,200,200,darkmagenta,draw_star,41.png
0.54,0.53,0.41,0.22,5,azure,30.0,interpolate,1,200,200,coral,draw_star,42.png
0.53,0.52,0.37,0.14,3,darkmagenta,60.0,interpolate,2,200,200,chartreuse,draw_star,43.png
0.49,0.52,0.43,0.25,7,hotpink,240.0,interpolate,1,200,200,beige,draw_star,44.png
0.51,0.53,0.45,0.19,6,lightcoral,330.0,interpolate,3,200,200,deeppink,draw_star,45.png
0.45,0.5,0.41,0.1,5,rosybrown,210.0,interpolate,1,200,200,linen,draw_star,46.png
0.55,0.51,0.37,0.16,4,greenyellow,180.0,interpolate,2,200,200,rosybrown,draw_star,47.png
0.5,0.45,0.35,0.19,5,darkcyan,270.0,interpolate,3,200,200,fuchsia,draw_star,48.png
0.48,0.53,0.41,0.1,5,lemonchiffon,30.0,interpolate,1,200,200,green,draw_star,49.png
0.54,0.54,0.35,0.16,4,wheat,30.0,interpolate,3,200,200,dimgray,draw_star,50.png
0.45,0.5,0.43,0.15,3,seagreen,330.0,interpolate,1,200,200,firebrick,draw_star,51.png
0.5,0.48,0.43,0.25,6,navy,30.0,interpolate,3,200,200,pink,draw_star,52.png
0.52,0.45,0.39,0.1,6,slateblue,240.0,interpolate,3,200,200,lightyellow,draw_star,53.png
0.49,0.45,0.41,0.12,3,chartreuse,330.0,interpolate,3,200,200,darkturquoise,draw_star,54.png
0.48,0.54,0.37,0.18,4,greenyellow,270.0,interpolate,1,200,200,chocolate,draw_star,55.png
0.48,0.49,0.35,0.1,6,fuchsia,180.0,interpolate,3,200,200,plum,draw_star,56.png
0.53,0.55,0.37,0.16,4,lightyellow,60.0,interpolate,1,200,200,olivedrab,draw_star,57.png
0.5,0.46,0.43,0.1,4,lightslategray,240.0,interpolate,3,200,200,royalblue,draw_star,58.png
0.47,0.54,0.35,0.22,6,orchid,120.0,interpolate,3,200,200,darkslateblue,draw_star,59.png
0.53,0.49,0.35,0.16,4,rebeccapurple,0.0,interpolate,3,200,200,lightsteelblue,draw_star,60.png
0.53,0.51,0.41,0.14,4,blueviolet,30.0,interpolate,3,200,200,springgreen,draw_star,61.png
0.49,0.52,0.39,0.13,6,forestgreen,330.0,interpolate,1,200,200,mediumaquamarine,draw_star,62.png
0.47,0.45,0.35,0.1,5,lightyellow,180.0,interpolate,3,200,200,thistle,draw_star,63.png
0.54,0.5,0.45,0.25,5,orange,210.0,interpolate,2,200,200,darkgray,draw_star,64.png
0.49,0.52,0.35,0.16,7,blanchedalmond,120.0,interpolate,2,200,200,white,draw_star,65.png
0.51,0.46,0.35,0.13,3,mistyrose,90.0,interpolate,1,200,200,blanchedalmond,draw_star,66.png
0.45,0.45,0.35,0.14,4,darkkhaki,60.0,interpolate,2,200,200,ivory,draw_star,67.png
0.5,0.51,0.37,0.15,3,olive,0.0,interpolate,2,200,200,aquamarine,draw_star,68.png
0.46,0.55,0.43,0.13,7,seashell,60.0,interpolate,1,200,200,rebeccapurple,draw_star,69.png
0.48,0.53,0.35,0.25,6,mediumvioletred,30.0,interpolate,2,200,200,navy,draw_star,70.png
0.53,0.53,0.41,0.13,7,midnightblue,150.0,interpolate,3,200,200,white,draw_star,71.png
0.52,0.46,0.39,0.1,7,silver,120.0,interpolate,1,200,200,rebeccapurple,draw_star,72.png
0.48,0.5,0.43,0.1,3,peachpuff,240.0,interpolate,1,200,200,tomato,draw_star,73.png
0.47,0.52,0.43,0.22,7,purple,180.0,interpolate,2,200,200,lightslategrey,draw_star,74.png
0.5,0.48,0.35,0.13,7,blue,0.0,interpolate,1,200,200,yellow,draw_star,75.png
0.51,0.46,0.43,0.25,7,chocolate,30.0,interpolate,3,200,200,paleturquoise,draw_star,76.png
0.52,0.55,0.41,0.18,4,ghostwhite,90.0,interpolate,3,200,200,gold,draw_star,77.png
0.5,0.46,0.45,0.19,5,beige,30.0,interpolate,1,200,200,white,draw_star,78.png
0.51,0.48,0.43,0.1,6,yellow,120.0,interpolate,3,200,200,greenyellow,draw_star,79.png
0.51,0.54,0.45,0.1,5,lawngreen,300.0,interpolate,1,200,200,darkmagenta,draw_star,80.png
0.51,0.51,0.45,0.22,7,maroon,240.0,interpolate,3,200,200,brown,draw_star,81.png
0.46,0.55,0.43,0.19,5,gray,150.0,interpolate,1,200,200,lightcoral,draw_star,82.png
0.53,0.46,0.43,0.2,4,mediumorchid,30.0,interpolate,1,200,200,darkolivegreen,draw_star,83.png
0.48,0.49,0.41,0.2,4,salmon,330.0,interpolate,3,200,200,teal,draw_star,84.png
