x,y,width,height,color,rotation_angle,outline,linewidth,image_width,image_height,background_color,plot_function,file_name
0.55,0.48,0.21,0.1,black,0.0,interpolate,1,200,200,white,draw_ellipse,0.png
0.51,0.52,0.33,0.21,black,150.0,interpolate,2,200,200,white,draw_ellipse,1.png
0.47,0.52,0.79,0.67,black,50.0,interpolate,2,200,200,white,draw_ellipse,2.png
0.51,0.48,0.1,0.33,black,160.0,interpolate,1,200,200,white,draw_ellipse,3.png
0.54,0.54,0.56,0.44,black,50.0,interpolate,2,200,200,white,draw_ellipse,4.png
0.5,0.46,0.33,0.21,black,110.0,interpolate,1,200,200,white,draw_ellipse,5.png
0.47,0.52,0.1,0.33,black,40.0,interpolate,3,200,200,white,draw_ellipse,6.png
0.54,0.47,0.44,0.44,black,0.0,interpolate,1,200,200,white,draw_ellipse,7.png
0.46,0.51,0.67,0.1,black,100.0,interpolate,2,200,200,white,draw_ellipse,8.png
0.47,0.51,0.9,0.79,black,70.0,interpolate,2,200,200,white,draw_ellipse,9.png
0.53,0.51,0.9,0.67,black,50.0,interpolate,1,200,200,white,draw_ellipse,10.png
0.54,0.52,0.33,0.21,black,140.0,interpolate,1,200,200,white,draw_ellipse,11.png
0.48,0.53,0.44,0.67,black,0.0,interpolate,2,200,200,white,draw_ellipse,12.png
0.47,0.52,0.67,0.56,black,80.0,interpolate,2,200,200,white,draw_ellipse,13.png
0.51,0.5,0.9,0.79,black,0.0,interpolate,3,200,200,white,draw_ellipse,14.png
0.51,0.55,0.44,0.56,black,30.0,interpolate,1,200,200,white,draw_ellipse,15.png
0.49,0.47,0.21,0.1,black,40.0,interpolate,2,200,200,white,draw_ellipse,16.png
0.52,0.45,0.1,0.44,black,20.0,interpolate,2,200,200,white,draw_ellipse,17.png
0.53,0.45,0.67,0.79,black,20.0,interpolate,1,200,200,white,draw_ellipse,18.png
0.52,0.55,0.67,0.21,black,90.0,interpolate,2,200,200,white,draw_ellipse,19.png
0.53,0.46,0.79,0.33,black,100.0,interpolate,1,200,200,white,draw_ellipse,20.png
0.45,0.45,0.44,0.79,black,10.0,interpolate,3,200,200,white,draw_ellipse,21.png
0.45,0.51,0.56,0.67,black,50.0,interpolate,3,200,200,white,draw_ellipse,22.png
0.48,0.46,0.44,0.56,black,10.0,interpolate,1,200,200,white,draw_ellipse,23.png
0.45,0.52,0.9,0.56,black,150.0,interpolate,2,200,200,white,draw_ellipse,24.png
0.51,0.52,0.9,0.56,black,70.0,interpolate,2,200,200,white,draw_ellipse,25.png
0.5,0.53,0.56,0.1,black,90.0,interpolate,2,200,200,white,draw_ellipse,26.png
0.51,0.48,0.1,0.79,black,70.0,interpolate,3,200,200,white,draw_ellipse,27.png
0.49,0.54,0.21,0.79,black,0.0,interpolate,1,200,200,white,draw_ellipse,28.png
0.55,0.47,0.1,0.79,black,10.0,interpolate,2,200,200,white,draw_ellipse,29.png
0.51,0.53,0.56,0.33,black,40.0,interpolate,1,200,200,white,draw_ellipse,30.png
0.47,0.51,0.9,0.67,black,140.0,interpolate,2,200,200,white,draw_ellipse,31.png
0.55,0.51,0.44,0.33,black,80.0,interpolate,2,200,200,white,draw_ellipse,32.png
0.51,0.53,0.33,0.79,black,60.0,interpolate,2,200,200,white,draw_ellipse,33.png
0.55,0.48,0.67,0.9,black,0.0,interpolate,1,200,200,white,draw_ellipse,34.png
0.48,0.46,0.33,0.1,black,50.0,interpolate,2,200,200,white,draw_ellipse,35.png
0.51,0.55,0.44,0.56,black,30.0,interpolate,3,200,200,white,draw_ellipse,36.png
0.47,0.48,0.9,0.79,black,0.0,interpolate,2,200,200,white,draw_ellipse,37.png
0.5,0.54,0.33,0.9,black,60.0,interpolate,2,200,200,white,draw_ellipse,38.png
0.55,0.49,0.21,0.1,black,30.0,interpolate,3,200,200,white,draw_ellipse,39.png
0.54,0.53,0.79,0.67,black,150.0,interpolate,1,200,200,white,draw_ellipse,40.png
