x,y,width,height,skew,color,rotation_angle,outline,linewidth,image_width,image_height,background_color,plot_function,file_name
0.52,0.48,0.2,0.37,30.0,black,20.0,interpolate,1,200,200,white,draw_parallelogram,0.png
0.5,0.53,0.31,0.2,15.0,black,170.0,interpolate,3,200,200,white,draw_parallelogram,1.png
0.5,0.51,0.31,0.42,7.5,black,130.0,interpolate,2,200,200,white,draw_parallelogram,2.png
0.45,0.46,0.37,0.42,37.5,black,120.0,interpolate,2,200,200,white,draw_parallelogram,3.png
0.49,0.53,0.48,0.37,15.0,black,100.0,interpolate,1,200,200,white,draw_parallelogram,4.png
0.52,0.51,0.37,0.42,37.5,black,30.0,interpolate,1,200,200,white,draw_parallelogram,5.png
0.55,0.51,0.31,0.2,45.0,black,100.0,interpolate,1,200,200,white,draw_parallelogram,6.png
0.46,0.55,0.42,0.26,30.0,black,50.0,interpolate,1,200,200,white,draw_parallelogram,7.png
0.46,0.52,0.37,0.37,7.5,black,0.0,interpolate,3,200,200,white,draw_parallelogram,8.png
0.46,0.52,0.48,0.48,30.0,black,140.0,interpolate,2,200,200,white,draw_parallelogram,9.png
0.48,0.46,0.48,0.48,37.5,black,60.0,interpolate,2,200,200,white,draw_parallelogram,10.png
0.54,0.5,0.48,0.42,22.5,black,130.0,interpolate,2,200,200,white,draw_parallelogram,11.png
0.46,0.49,0.42,0.2,7.5,black,100.0,interpolate,1,200,200,white,draw_parallelogram,12.png
0.5,0.49,0.48,0.42,45.0,black,170.0,interpolate,3,200,200,white,draw_parallelogram,13.png
0.47,0.49,0.2,0.31,22.5,black,50.0,interpolate,3,200,200,white,draw_parallelogram,14.png
0.46,0.46,0.42,0.42,30.0,black,140.0,interpolate,3,200,200,white,draw_parallelogram,15.png
0.51,0.55,0.37,0.42,0.0,black,10.0,interpolate,2,200,200,white,draw_parallelogram,16.png
0.51,0.5,0.31,0.48,22.5,black,160.0,interpolate,1,200,200,white,draw_parallelogram,17.png
0.49,0.52,0.42,0.2,45.0,black,50.0,interpolate,2,200,200,white,draw_parallelogram,18.png
0.55,0.47,0.37,0.48,45.0,black,170.0,interpolate,3,200,200,white,draw_parallelogram,19.png
0.55,0.48,0.2,0.42,15.0,black,150.0,interpolate,2,200,200,white,draw_parallelogram,20.png
0.45,0.46,0.37,0.48,0.0,black,10.0,interpolate,2,200,200,white,draw_parallelogram,21.png
0.55,0.5,0.42,0.48,15.0,black,90.0,interpolate,3,200,200,white,draw_parallelogram,22.png
0.49,0.48,0.26,0.2,15.0,black,120.0,interpolate,3,200,200,white,draw_parallelogram,23.png
0.54,0.52,0.37,0.42,7.5,black,140.0,interpolate,1,200,200,white,draw_parallelogram,24.png
0.45,0.51,0.2,0.37,30.0,black,20.0,interpolate,1,200,200,white,draw_parallelogram,25.png
0.49,0.49,0.2,0.48,0.0,black,130.0,interpolate,2,200,200,white,draw_parallelogram,26.png
0.48,0.48,0.2,0.48,37.5,black,120.0,interpolate,1,200,200,white,draw_parallelogram,27.png
0.48,0.48,0.42,0.2,7.5,black,80.0,interpolate,1,200,200,white,draw_parallelogram,28.png
0.54,0.49,0.48,0.26,37.5,black,130.0,interpolate,1,200,200,white,draw_parallelogram,29.png
0.55,0.48,0.26,0.26,15.0,black,110.0,interpolate,2,200,200,white,draw_parallelogram,30.png
0.55,0.52,0.31,0.31,22.5,black,20.0,interpolate,1,200,200,white,draw_parallelogram,31.png
0.54,0.54,0.48,0.42,0.0,black,130.0,interpolate,1,200,200,white,draw_parallelogram,32.png
0.54,0.51,0.37,0.48,15.0,black,170.0,interpolate,3,200,200,white,draw_parallelogram,33.png
0.5,0.45,0.37,0.37,37.5,black,0.0,interpolate,1,200,200,white,draw_parallelogram,34.png
0.52,0.51,0.48,0.31,0.0,black,80.0,interpolate,2,200,200,white,draw_parallelogram,35.png
0.51,0.52,0.42,0.48,45.0,black,110.0,interpolate,2,200,200,white,draw_parallelogram,36.png
0.47,0.52,0.37,0.37,45.0,black,70.0,interpolate,2,200,200,white,draw_parallelogram,37.png
0.45,0.48,0.31,0.37,30.0,black,160.0,interpolate,3,200,200,white,draw_parallelogram,38.png
0.51,0.45,0.48,0.42,37.5,black,150.0,interpolate,3,200,200,white,draw_parallelogram,39.png
0.53,0.5,0.2,0.48,7.5,black,20.0,interpolate,1,200,200,white,draw_parallelogram,40.png
0.45,0.51,0.26,0.42,22.5,black,170.0,interpolate,3,200,200,white,draw_parallelogram,41.png
0.47,0.5,0.31,0.2,22.5,black,120.0,interpolate,2,200,200,white,draw_parallelogram,42.png
0.51,0.45,0.26,0.2,0.0,black,80.0,interpolate,2,200,200,white,draw_parallelogram,43.png
0.54,0.45,0.42,0.26,15.0,black,10.0,interpolate,1,200,200,white,draw_parallelogram,44.png
0.46,0.5,0.31,0.31,7.5,black,60.0,interpolate,2,200,200,white,draw_parallelogram,45.png
0.45,0.51,0.42,0.48,37.5,black,150.0,interpolate,3,200,200,white,draw_parallelogram,46.png
0.5,0.49,0.42,0.2,15.0,black,60.0,interpolate,3,200,200,white,draw_parallelogram,47.png
0.45,0.5,0.26,0.31,7.5,black,170.0,interpolate,1,200,200,white,draw_parallelogram,48.png
0.46,0.53,0.2,0.37,7.5,black,30.0,interpolate,2,200,200,white,draw_parallelogram,49.png
0.5,0.47,0.48,0.37,0.0,black,30.0,interpolate,3,200,200,white,draw_parallelogram,50.png
0.53,0.47,0.31,0.2,22.5,black,70.0,interpolate,2,200,200,white,draw_parallelogram,51.png
0.54,0.45,0.2,0.42,30.0,black,30.0,interpolate,3,200,200,white,draw_parallelogram,52.png
0.54,0.45,0.2,0.31,37.5,black,30.0,interpolate,1,200,200,white,draw_parallelogram,53.png
0.46,0.52,0.2,0.31,7.5,black,90.0,interpolate,1,200,200,white,draw_parallelogram,54.png
0.46,0.46,0.2,0.42,37.5,black,60.0,interpolate,2,200,200,white,draw_parallelogram,55.png
0.52,0.54,0.42,0.2,0.0,black,60.0,interpolate,1,200,200,white,draw_parallelogram,56.png
0.53,0.5,0.37,0.26,0.0,black,150.0,interpolate,1,200,200,white,draw_parallelogram,57.png
0.53,0.5,0.26,0.2,45.0,black,120.0,interpolate,3,200,200,white,draw_parallelogram,58.png
0.46,0.51,0.26,0.26,45.0,black,30.0,interpolate,1,200,200,white,draw_parallelogram,59.png
0.52,0.52,0.42,0.37,22.5,black,70.0,interpolate,3,200,200,white,draw_parallelogram,60.png
0.47,0.53,0.31,0.31,22.5,black,50.0,interpolate,3,200,200,white,draw_parallelogram,61.png
0.53,0.53,0.37,0.2,7.5,black,60.0,interpolate,2,200,200,white,draw_parallelogram,62.png
0.52,0.47,0.42,0.2,15.0,black,90.0,interpolate,1,200,200,white,draw_parallelogram,63.png
0.45,0.48,0.48,0.37,22.5,black,110.0,interpolate,3,200,200,white,draw_parallelogram,64.png
0.54,0.49,0.2,0.31,45.0,black,10.0,interpolate,1,200,200,white,draw_parallelogram,65.png
0.54,0.46,0.37,0.48,37.5,black,90.0,interpolate,2,200,200,white,draw_parallelogram,66.png
0.45,0.47,0.31,0.31,22.5,black,150.0,interpolate,1,200,200,white,draw_parallelogram,67.png
0.52,0.52,0.2,0.31,7.5,black,150.0,interpolate,1,200,200,white,draw_parallelogram,68.png
0.5,0.48,0.48,0.42,0.0,black,70.0,interpolate,1,200,200,white,draw_parallelogram,69.png
0.53,0.45,0.48,0.48,0.0,black,130.0,interpolate,2,200,200,white,draw_parallelogram,70.png
0.47,0.55,0.48,0.42,30.0,black,160.0,interpolate,2,200,200,white,draw_parallelogram,71.png
0.49,0.46,0.2,0.26,15.0,black,10.0,interpolate,2,200,200,white,draw_parallelogram,72.png
0.53,0.48,0.48,0.2,45.0,black,70.0,interpolate,2,200,200,white,draw_parallelogram,73.png
0.55,0.53,0.48,0.37,15.0,black,90.0,interpolate,2,200,200,white,draw_parallelogram,74.png
0.46,0.51,0.37,0.2,0.0,black,50.0,interpolate,3,200,200,white,draw_parallelogram,75.png
0.51,0.54,0.48,0.42,30.0,black,170.0,interpolate,1,200,200,white,draw_parallelogram,76.png
0.51,0.55,0.37,0.37,15.0,black,30.0,interpolate,2,200,200,white,draw_parallelogram,77.png
0.53,0.52,0.42,0.37,45.0,black,0.0,interpolate,2,200,200,white,draw_parallelogram,78.png
0.52,0.52,0.26,0.48,37.5,black,20.0,interpolate,1,200,200,white,draw_parallelogram,79.png
0.48,0.45,0.37,0.48,30.0,black,30.0,interpolate,3,200,200,white,draw_parallelogram,80.png
0.54,0.49,0.2,0.37,0.0,black,90.0,interpolate,3,200,200,white,draw_parallelogram,81.png
