x,y,outer_radius,inner_radius,num_peaks,color,rotation_angle,outline,linewidth,image_width,image_height,background_color,plot_function,file_name
0.45,0.5,0.37,0.11,3,black,10.0,interpolate,3,200,200,white,draw_star,0.png
0.53,0.48,0.35,0.25,6,black,0.0,interpolate,1,200,200,white,draw_star,1.png
0.52,0.51,0.41,0.12,3,black,50.0,interpolate,2,200,200,white,draw_star,2.png
0.5,0.51,0.39,0.11,3,black,0.0,interpolate,2,200,200,white,draw_star,3.png
0.5,0.51,0.41,0.19,6,black,100.0,interpolate,2,200,200,white,draw_star,4.png
0.55,0.46,0.39,0.2,4,black,130.0,interpolate,2,200,200,white,draw_star,5.png
0.46,0.5,0.37,0.14,4,black,30.0,interpolate,1,200,200,white,draw_star,6.png
0.48,0.54,0.35,0.16,6,black,60.0,interpolate,3,200,200,white,draw_star,7.png
0.46,0.47,0.45,0.16,6,black,170.0,interpolate,1,200,200,white,draw_star,8.png
0.51,0.49,0.45,0.16,6,black,10.0,interpolate,3,200,200,white,draw_star,9.png
0.46,0.45,0.35,0.13,5,black,100.0,interpolate,3,200,200,white,draw_star,10.png
0.52,0.52,0.39,0.19,7,black,90.0,interpolate,3,200,200,white,draw_star,11.png
0.55,0.52,0.37,0.16,7,black,150.0,interpolate,3,200,200,white,draw_star,12.png
0.54,0.52,0.43,0.22,6,black,90.0,interpolate,3,200,200,white,draw_star,13.png
0.51,0.51,0.37,0.12,3,black,110.0,interpolate,3,200,200,white,draw_star,14.png
0.47,0.53,0.35,0.19,5,black,110.0,interpolate,1,200,200,white,draw_star,15.png
0.46,0.55,0.41,0.14,4,black,130.0,interpolate,3,200,200,white,draw_star,16.png
0.46,0.51,0.39,0.11,3,black,90.0,interpolate,3,200,200,white,draw_star,17.png
0.45,0.51,0.45,0.1,7,black,10.0,interpolate,2,200,200,white,draw_star,18.png
0.45,0.54,0.43,0.13,3,black,0.0,interpolate,1,200,200,white,draw_star,19.png
0.45,0.48,0.35,0.16,6,black,80.0,interpolate,3,200,200,white,draw_star,20.png
0.5,0.46,0.41,0.1,6,black,140.0,interpolate,1,200,200,white,draw_star,21.png
0.49,0.54,0.45,0.25,5,black,0.0,interpolate,1,200,200,white,draw_star,22.png
0.51,0.53,0.43,0.13,3,black,20.0,interpolate,2,200,200,white,draw_star,23.png
0.47,0.46,0.37,0.25,5,black,150.0,interpolate,2,200,200,white,draw_star,24.png
0.53,0.49,0.39,0.16,7,black,70.0,interpolate,2,200,200,white,draw_star,25.png
0.49,0.48,0.39,0.19,6,black,140.0,interpolate,2,200,200,white,draw_star,26.png
0.55,0.48,0.45,0.19,6,black,150.0,interpolate,3,200,200,white,draw_star,27.png
0.48,0.55,0.39,0.18,4,black,130.0,interpolate,1,200,200,white,draw_star,28.png
0.48,0.54,0.41,0.19,7,black,50.0,interpolate,1,200,200,white,draw_star,29.png
0.48,0.46,0.43,0.25,6,black,150.0,interpolate,1,200,200,white,draw_star,30.png
0.54,0.46,0.37,0.22,6,black,70.0,interpolate,2,200,200,white,draw_star,31.png
0.5,0.49,0.41,0.19,7,black,10.0,interpolate,3,200,200,white,draw_star,32.png
0.45,0.54,0.35,0.1,3,black,110.0,interpolate,1,200,200,white,draw_star,33.png
0.51,0.45,0.35,0.13,3,black,80.0,interpolate,2,200,200,white,draw_star,34.png
0.46,0.46,0.39,0.1,7,black,60.0,interpolate,3,200,200,white,draw_star,35.png
0.51,0.55,0.45,0.15,3,black,100.0,interpolate,3,200,200,white,draw_star,36.png
0.51,0.45,0.43,0.25,5,black,40.0,interpolate,3,200,200,white,draw_star,37.png
0.55,0.5,0.45,0.13,3,black,170.0,interpolate,3,200,200,white,draw_star,38.png
0.47,0.52,0.35,0.14,4,black,20.0,interpolate,1,200,200,white,draw_star,39.png
