x,y,radius,n_points,color,rotation_angle,outline,linewidth,image_width,image_height,background_color,plot_function,file_name
0.54,0.52,0.25,4,black,150.0,,0,64,64,white,draw_polygon,0.png
0.48,0.51,0.3,6,black,90.0,,0,64,64,white,draw_polygon,1.png
0.55,0.48,0.2,3,black,330.0,,0,64,64,white,draw_polygon,2.png
0.46,0.45,0.25,4,black,90.0,,0,64,64,white,draw_polygon,3.png
0.45,0.47,0.2,6,black,90.0,,0,64,64,white,draw_polygon,4.png
0.52,0.48,0.4,6,black,90.0,,0,64,64,white,draw_polygon,5.png
0.48,0.53,0.45,3,black,60.0,,0,64,64,white,draw_polygon,6.png
0.5,0.47,0.4,7,black,60.0,,0,64,64,white,draw_polygon,7.png
0.49,0.52,0.4,3,black,300.0,,0,64,64,white,draw_polygon,8.png
0.51,0.51,0.2,7,black,330.0,,0,64,64,white,draw_polygon,9.png
0.49,0.49,0.45,3,black,210.0,,0,64,64,white,draw_polygon,10.png
0.46,0.51,0.4,4,black,210.0,,0,64,64,white,draw_polygon,11.png
0.54,0.45,0.1,7,black,240.0,,0,64,64,white,draw_polygon,12.png
0.47,0.49,0.15,6,black,180.0,,0,64,64,white,draw_polygon,13.png
0.48,0.48,0.3,3,black,90.0,,0,64,64,white,draw_polygon,14.png
0.5,0.5,0.35,5,black,330.0,,0,64,64,white,draw_polygon,15.png
0.45,0.46,0.45,4,black,300.0,,0,64,64,white,draw_polygon,16.png
0.47,0.53,0.15,5,black,60.0,,0,64,64,white,draw_polygon,17.png
0.52,0.52,0.35,4,black,300.0,,0,64,64,white,draw_polygon,18.png
0.5,0.52,0.15,3,black,30.0,,0,64,64,white,draw_polygon,19.png
0.45,0.48,0.25,3,black,90.0,,0,64,64,white,draw_polygon,20.png
0.46,0.48,0.25,6,black,120.0,,0,64,64,white,draw_polygon,21.png
0.46,0.45,0.35,6,black,150.0,,0,64,64,white,draw_polygon,22.png
0.53,0.53,0.45,5,black,210.0,,0,64,64,white,draw_polygon,23.png
0.51,0.47,0.1,4,black,0.0,,0,64,64,white,draw_polygon,24.png
0.5,0.47,0.3,3,black,180.0,,0,64,64,white,draw_polygon,25.png
0.45,0.47,0.35,4,black,330.0,,0,64,64,white,draw_polygon,26.png
0.51,0.48,0.45,7,black,210.0,,0,64,64,white,draw_polygon,27.png
0.52,0.53,0.35,5,black,300.0,,0,64,64,white,draw_polygon,28.png
0.54,0.46,0.15,7,black,270.0,,0,64,64,white,draw_polygon,29.png
0.5,0.48,0.45,3,black,150.0,,0,64,64,white,draw_polygon,30.png
0.49,0.5,0.1,3,black,210.0,,0,64,64,white,draw_polygon,31.png
0.54,0.51,0.15,7,black,150.0,,0,64,64,white,draw_polygon,32.png
0.45,0.52,0.4,7,black,90.0,,0,64,64,white,draw_polygon,33.png
0.47,0.51,0.1,5,black,330.0,,0,64,64,white,draw_polygon,34.png
