x,y,width,height,color,rotation_angle,outline,linewidth,image_width,image_height,background_color,plot_function,file_name
0.51,0.54,0.2,0.3,black,240.0,,0,64,64,white,draw_rectangle,0.png
0.45,0.55,0.2,0.7,black,210.0,,0,64,64,white,draw_rectangle,1.png
0.49,0.49,0.3,0.5,black,240.0,,0,64,64,white,draw_rectangle,2.png
0.53,0.48,0.7,0.4,black,180.0,,0,64,64,white,draw_rectangle,3.png
0.52,0.46,0.1,0.3,black,60.0,,0,64,64,white,draw_rectangle,4.png
0.45,0.53,0.5,0.4,black,150.0,,0,64,64,white,draw_rectangle,5.png
0.52,0.46,0.5,0.5,black,300.0,,0,64,64,white,draw_rectangle,6.png
0.49,0.54,0.5,0.1,black,60.0,,0,64,64,white,draw_rectangle,7.png
0.47,0.47,0.4,0.7,black,180.0,,0,64,64,white,draw_rectangle,8.png
0.46,0.45,0.3,0.5,black,300.0,,0,64,64,white,draw_rectangle,9.png
0.51,0.45,0.2,0.6,black,150.0,,0,64,64,white,draw_rectangle,10.png
0.55,0.52,0.1,0.6,black,60.0,,0,64,64,white,draw_rectangle,11.png
0.54,0.51,0.7,0.1,black,180.0,,0,64,64,white,draw_rectangle,12.png
0.53,0.54,0.7,0.7,black,60.0,,0,64,64,white,draw_rectangle,13.png
0.45,0.48,0.2,0.4,black,120.0,,0,64,64,white,draw_rectangle,14.png
0.55,0.45,0.1,0.5,black,300.0,,0,64,64,white,draw_rectangle,15.png
0.48,0.47,0.6,0.7,black,180.0,,0,64,64,white,draw_rectangle,16.png
0.48,0.49,0.4,0.3,black,330.0,,0,64,64,white,draw_rectangle,17.png
0.5,0.47,0.2,0.4,black,0.0,,0,64,64,white,draw_rectangle,18.png
0.55,0.55,0.4,0.5,black,120.0,,0,64,64,white,draw_rectangle,19.png
0.53,0.51,0.6,0.5,black,240.0,,0,64,64,white,draw_rectangle,20.png
0.46,0.52,0.1,0.5,black,120.0,,0,64,64,white,draw_rectangle,21.png
0.53,0.52,0.5,0.5,black,270.0,,0,64,64,white,draw_rectangle,22.png
0.49,0.5,0.3,0.2,black,180.0,,0,64,64,white,draw_rectangle,23.png
0.51,0.51,0.1,0.5,black,60.0,,0,64,64,white,draw_rectangle,24.png
0.51,0.46,0.5,0.6,black,300.0,,0,64,64,white,draw_rectangle,25.png
0.45,0.46,0.6,0.7,black,150.0,,0,64,64,white,draw_rectangle,26.png
0.53,0.53,0.3,0.5,black,60.0,,0,64,64,white,draw_rectangle,27.png
0.46,0.51,0.3,0.1,black,120.0,,0,64,64,white,draw_rectangle,28.png
0.52,0.46,0.3,0.3,black,270.0,,0,64,64,white,draw_rectangle,29.png
0.49,0.5,0.6,0.7,black,330.0,,0,64,64,white,draw_rectangle,30.png
0.53,0.51,0.7,0.7,black,210.0,,0,64,64,white,draw_rectangle,31.png
0.48,0.52,0.1,0.2,black,180.0,,0,64,64,white,draw_rectangle,32.png
0.48,0.46,0.4,0.4,black,120.0,,0,64,64,white,draw_rectangle,33.png
0.47,0.54,0.6,0.2,black,90.0,,0,64,64,white,draw_rectangle,34.png
0.49,0.55,0.6,0.5,black,270.0,,0,64,64,white,draw_rectangle,35.png
0.48,0.53,0.3,0.1,black,90.0,,0,64,64,white,draw_rectangle,36.png
0.55,0.52,0.7,0.4,black,150.0,,0,64,64,white,draw_rectangle,37.png
0.51,0.47,0.3,0.4,black,90.0,,0,64,64,white,draw_rectangle,38.png
