x,y,width,height,color,rotation_angle,outline,linewidth,image_width,image_height,background_color,plot_function,file_name
0.55,0.53,0.39,0.2,black,5.0,interpolate,3,200,200,white,draw_ellipse,0.png
0.48,0.55,0.9,0.19,black,145.0,interpolate,1,200,200,white,draw_ellipse,1.png
0.46,0.46,0.73,0.14,black,35.0,interpolate,1,200,200,white,draw_ellipse,2.png
0.45,0.47,0.64,0.17,black,140.0,interpolate,3,200,200,white,draw_ellipse,3.png
0.53,0.46,0.81,0.16,black,0.0,interpolate,2,200,200,white,draw_ellipse,4.png
0.49,0.47,0.64,0.13,black,30.0,interpolate,3,200,200,white,draw_ellipse,5.png
0.5,0.54,0.47,0.13,black,30.0,interpolate,2,200,200,white,draw_ellipse,6.png
0.5,0.47,0.64,0.11,black,90.0,interpolate,3,200,200,white,draw_ellipse,7.png
0.52,0.48,0.56,0.13,black,115.0,interpolate,1,200,200,white,draw_ellipse,8.png
0.49,0.55,0.47,0.16,black,105.0,interpolate,3,200,200,white,draw_ellipse,9.png
0.46,0.53,0.81,0.11,black,20.0,interpolate,1,200,200,white,draw_ellipse,10.png
0.55,0.45,0.39,0.1,black,55.0,interpolate,2,200,200,white,draw_ellipse,11.png
0.47,0.52,0.39,0.1,black,15.0,interpolate,3,200,200,white,draw_ellipse,12.png
0.48,0.52,0.64,0.16,black,0.0,interpolate,3,200,200,white,draw_ellipse,13.png
0.51,0.46,0.56,0.16,black,65.0,interpolate,3,200,200,white,draw_ellipse,14.png
0.45,0.47,0.39,0.1,black,115.0,interpolate,3,200,200,white,draw_ellipse,15.png
0.48,0.45,0.64,0.13,black,10.0,interpolate,3,200,200,white,draw_ellipse,16.png
0.53,0.51,0.3,0.17,black,25.0,interpolate,3,200,200,white,draw_ellipse,17.png
0.51,0.48,0.3,0.11,black,165.0,interpolate,2,200,200,white,draw_ellipse,18.png
0.45,0.48,0.81,0.1,black,80.0,interpolate,3,200,200,white,draw_ellipse,19.png
0.46,0.5,0.3,0.16,black,30.0,interpolate,2,200,200,white,draw_ellipse,20.png
0.46,0.47,0.3,0.1,black,140.0,interpolate,1,200,200,white,draw_ellipse,21.png
0.54,0.53,0.73,0.17,black,85.0,interpolate,3,200,200,white,draw_ellipse,22.png
0.51,0.54,0.64,0.17,black,75.0,interpolate,3,200,200,white,draw_ellipse,23.png
0.5,0.53,0.9,0.11,black,160.0,interpolate,3,200,200,white,draw_ellipse,24.png
0.45,0.47,0.9,0.19,black,15.0,interpolate,2,200,200,white,draw_ellipse,25.png
0.52,0.45,0.81,0.11,black,30.0,interpolate,2,200,200,white,draw_ellipse,26.png
0.53,0.52,0.39,0.19,black,5.0,interpolate,1,200,200,white,draw_ellipse,27.png
0.55,0.46,0.56,0.1,black,80.0,interpolate,3,200,200,white,draw_ellipse,28.png
0.5,0.55,0.56,0.14,black,80.0,interpolate,1,200,200,white,draw_ellipse,29.png
0.49,0.55,0.56,0.17,black,90.0,interpolate,1,200,200,white,draw_ellipse,30.png
