x,y,width,height,skew,color,rotation_angle,outline,linewidth,image_width,image_height,background_color,plot_function,file_name
0.53,0.5,0.2,0.12,22.5,black,30.0,interpolate,3,200,200,white,draw_parallelogram,0.png
0.47,0.54,0.2,0.18,7.5,black,50.0,interpolate,2,200,200,white,draw_parallelogram,1.png
0.48,0.5,0.48,0.16,7.5,black,40.0,interpolate,3,200,200,white,draw_parallelogram,2.png
0.51,0.45,0.48,0.1,45.0,black,140.0,interpolate,2,200,200,white,draw_parallelogram,3.png
0.47,0.55,0.26,0.1,0.0,black,25.0,interpolate,2,200,200,white,draw_parallelogram,4.png
0.53,0.55,0.37,0.15,45.0,black,15.0,interpolate,2,200,200,white,draw_parallelogram,5.png
0.48,0.52,0.48,0.12,22.5,black,55.0,interpolate,1,200,200,white,draw_parallelogram,6.png
0.54,0.49,0.48,0.18,15.0,black,90.0,interpolate,1,200,200,white,draw_parallelogram,7.png
0.46,0.55,0.26,0.1,15.0,black,0.0,interpolate,3,200,200,white,draw_parallelogram,8.png
0.53,0.53,0.42,0.13,45.0,black,150.0,interpolate,2,200,200,white,draw_parallelogram,9.png
0.45,0.49,0.48,0.1,45.0,black,105.0,interpolate,2,200,200,white,draw_parallelogram,10.png
0.49,0.47,0.26,0.16,37.5,black,150.0,interpolate,2,200,200,white,draw_parallelogram,11.png
0.55,0.48,0.42,0.16,45.0,black,95.0,interpolate,2,200,200,white,draw_parallelogram,12.png
0.5,0.53,0.37,0.15,37.5,black,40.0,interpolate,2,200,200,white,draw_parallelogram,13.png
0.55,0.55,0.48,0.12,22.5,black,90.0,interpolate,2,200,200,white,draw_parallelogram,14.png
0.5,0.55,0.48,0.1,45.0,black,155.0,interpolate,2,200,200,white,draw_parallelogram,15.png
0.52,0.51,0.2,0.12,15.0,black,85.0,interpolate,2,200,200,white,draw_parallelogram,16.png
0.55,0.55,0.31,0.1,15.0,black,0.0,interpolate,2,200,200,white,draw_parallelogram,17.png
0.5,0.48,0.2,0.12,30.0,black,125.0,interpolate,2,200,200,white,draw_parallelogram,18.png
0.5,0.51,0.37,0.12,15.0,black,40.0,interpolate,1,200,200,white,draw_parallelogram,19.png
0.48,0.55,0.26,0.13,45.0,black,95.0,interpolate,1,200,200,white,draw_parallelogram,20.png
0.48,0.47,0.26,0.13,7.5,black,75.0,interpolate,1,200,200,white,draw_parallelogram,21.png
0.46,0.55,0.26,0.13,15.0,black,110.0,interpolate,2,200,200,white,draw_parallelogram,22.png
0.54,0.48,0.31,0.1,30.0,black,145.0,interpolate,2,200,200,white,draw_parallelogram,23.png
0.52,0.5,0.31,0.12,7.5,black,110.0,interpolate,3,200,200,white,draw_parallelogram,24.png
0.52,0.53,0.37,0.18,0.0,black,85.0,interpolate,2,200,200,white,draw_parallelogram,25.png
0.53,0.52,0.31,0.16,37.5,black,75.0,interpolate,3,200,200,white,draw_parallelogram,26.png
0.54,0.47,0.2,0.18,37.5,black,65.0,interpolate,1,200,200,white,draw_parallelogram,27.png
0.54,0.45,0.2,0.13,0.0,black,170.0,interpolate,2,200,200,white,draw_parallelogram,28.png
