x,y,width,height,color,rotation_angle,outline,linewidth,image_width,image_height,background_color,plot_function,file_name
0.53,0.55,0.73,0.1,black,55.0,interpolate,1,200,200,white,draw_rectangle,0.png
0.52,0.47,0.39,0.17,black,95.0,interpolate,2,200,200,white,draw_rectangle,1.png
0.46,0.53,0.47,0.13,black,15.0,interpolate,1,200,200,white,draw_rectangle,2.png
0.53,0.48,0.73,0.11,black,155.0,interpolate,1,200,200,white,draw_rectangle,3.png
0.47,0.47,0.81,0.14,black,40.0,interpolate,1,200,200,white,draw_rectangle,4.png
0.54,0.53,0.47,0.1,black,70.0,interpolate,1,200,200,white,draw_rectangle,5.png
0.55,0.51,0.3,0.11,black,140.0,interpolate,2,200,200,white,draw_rectangle,6.png
0.55,0.55,0.47,0.19,black,70.0,interpolate,2,200,200,white,draw_rectangle,7.png
0.53,0.51,0.73,0.2,black,150.0,interpolate,3,200,200,white,draw_rectangle,8.png
0.52,0.48,0.39,0.19,black,20.0,interpolate,1,200,200,white,draw_rectangle,9.png
0.49,0.46,0.81,0.19,black,45.0,interpolate,1,200,200,white,draw_rectangle,10.png
0.52,0.5,0.81,0.13,black,140.0,interpolate,1,200,200,white,draw_rectangle,11.png
0.49,0.53,0.81,0.13,black,100.0,interpolate,2,200,200,white,draw_rectangle,12.png
0.46,0.45,0.81,0.1,black,50.0,interpolate,3,200,200,white,draw_rectangle,13.png
0.53,0.54,0.56,0.13,black,70.0,interpolate,2,200,200,white,draw_rectangle,14.png
0.49,0.55,0.64,0.16,black,160.0,interpolate,2,200,200,white,draw_rectangle,15.png
0.55,0.55,0.56,0.19,black,100.0,interpolate,3,200,200,white,draw_rectangle,16.png
0.49,0.49,0.47,0.17,black,90.0,interpolate,3,200,200,white,draw_rectangle,17.png
0.53,0.53,0.81,0.17,black,135.0,interpolate,3,200,200,white,draw_rectangle,18.png
0.51,0.49,0.3,0.2,black,60.0,interpolate,2,200,200,white,draw_rectangle,19.png
0.48,0.48,0.64,0.14,black,0.0,interpolate,1,200,200,white,draw_rectangle,20.png
0.49,0.48,0.9,0.19,black,125.0,interpolate,3,200,200,white,draw_rectangle,21.png
0.55,0.47,0.9,0.17,black,135.0,interpolate,1,200,200,white,draw_rectangle,22.png
0.47,0.48,0.3,0.19,black,0.0,interpolate,3,200,200,white,draw_rectangle,23.png
0.5,0.49,0.81,0.16,black,165.0,interpolate,2,200,200,white,draw_rectangle,24.png
0.54,0.53,0.9,0.1,black,60.0,interpolate,1,200,200,white,draw_rectangle,25.png
0.49,0.55,0.64,0.16,black,145.0,interpolate,2,200,200,white,draw_rectangle,26.png
0.54,0.51,0.47,0.16,black,75.0,interpolate,3,200,200,white,draw_rectangle,27.png
0.5,0.5,0.64,0.11,black,85.0,interpolate,3,200,200,white,draw_rectangle,28.png
0.53,0.52,0.64,0.17,black,15.0,interpolate,3,200,200,white,draw_rectangle,29.png
0.51,0.5,0.47,0.11,black,65.0,interpolate,1,200,200,white,draw_rectangle,30.png
0.52,0.48,0.9,0.19,black,75.0,interpolate,3,200,200,white,draw_rectangle,31.png
0.51,0.54,0.9,0.2,black,75.0,interpolate,3,200,200,white,draw_rectangle,32.png
0.49,0.54,0.39,0.17,black,85.0,interpolate,3,200,200,white,draw_rectangle,33.png
0.47,0.51,0.39,0.1,black,120.0,interpolate,1,200,200,white,draw_rectangle,34.png
0.5,0.45,0.9,0.2,black,50.0,interpolate,2,200,200,white,draw_rectangle,35.png
0.49,0.51,0.3,0.14,black,80.0,interpolate,3,200,200,white,draw_rectangle,36.png
0.47,0.49,0.56,0.13,black,105.0,interpolate,3,200,200,white,draw_rectangle,37.png
0.46,0.48,0.3,0.1,black,155.0,interpolate,3,200,200,white,draw_rectangle,38.png
0.54,0.51,0.73,0.13,black,70.0,interpolate,3,200,200,white,draw_rectangle,39.png
0.47,0.47,0.81,0.1,black,55.0,interpolate,2,200,200,white,draw_rectangle,40.png
0.49,0.53,0.3,0.1,black,70.0,interpolate,3,200,200,white,draw_rectangle,41.png
0.52,0.48,0.3,0.14,black,15.0,interpolate,2,200,200,white,draw_rectangle,42.png
0.54,0.52,0.9,0.13,black,165.0,interpolate,2,200,200,white,draw_rectangle,43.png
0.53,0.45,0.64,0.19,black,75.0,interpolate,2,200,200,white,draw_rectangle,44.png
0.5,0.45,0.9,0.1,black,135.0,interpolate,2,200,200,white,draw_rectangle,45.png
0.53,0.45,0.39,0.16,black,130.0,interpolate,1,200,200,white,draw_rectangle,46.png
0.54,0.51,0.73,0.1,black,165.0,interpolate,2,200,200,white,draw_rectangle,47.png
0.5,0.51,0.47,0.1,black,30.0,interpolate,1,200,200,white,draw_rectangle,48.png
0.48,0.51,0.3,0.13,black,5.0,interpolate,1,200,200,white,draw_rectangle,49.png
0.47,0.46,0.73,0.1,black,75.0,interpolate,1,200,200,white,draw_rectangle,50.png
0.49,0.5,0.47,0.13,black,90.0,interpolate,2,200,200,white,draw_rectangle,51.png
0.46,0.49,0.56,0.11,black,125.0,interpolate,1,200,200,white,draw_rectangle,52.png
0.54,0.47,0.39,0.1,black,75.0,interpolate,3,200,200,white,draw_rectangle,53.png
0.52,0.46,0.56,0.1,black,5.0,interpolate,1,200,200,white,draw_rectangle,54.png
0.53,0.45,0.39,0.16,black,25.0,interpolate,1,200,200,white,draw_rectangle,55.png
0.48,0.46,0.9,0.1,black,75.0,interpolate,2,200,200,white,draw_rectangle,56.png
0.48,0.48,0.81,0.1,black,70.0,interpolate,3,200,200,white,draw_rectangle,57.png
0.51,0.52,0.81,0.2,black,120.0,interpolate,1,200,200,white,draw_rectangle,58.png
0.49,0.53,0.3,0.1,black,90.0,interpolate,1,200,200,white,draw_rectangle,59.png
0.45,0.53,0.47,0.13,black,65.0,interpolate,3,200,200,white,draw_rectangle,60.png
0.52,0.45,0.39,0.1,black,70.0,interpolate,3,200,200,white,draw_rectangle,61.png
0.45,0.49,0.81,0.17,black,55.0,interpolate,1,200,200,white,draw_rectangle,62.png
0.54,0.49,0.64,0.17,black,50.0,interpolate,3,200,200,white,draw_rectangle,63.png
0.47,0.51,0.81,0.1,black,135.0,interpolate,3,200,200,white,draw_rectangle,64.png
0.51,0.51,0.9,0.14,black,155.0,interpolate,2,200,200,white,draw_rectangle,65.png
0.53,0.51,0.64,0.16,black,25.0,interpolate,1,200,200,white,draw_rectangle,66.png
0.53,0.45,0.73,0.19,black,30.0,interpolate,2,200,200,white,draw_rectangle,67.png
0.52,0.54,0.73,0.13,black,40.0,interpolate,3,200,200,white,draw_rectangle,68.png
0.48,0.51,0.81,0.14,black,45.0,interpolate,1,200,200,white,draw_rectangle,69.png
0.49,0.5,0.9,0.2,black,115.0,interpolate,3,200,200,white,draw_rectangle,70.png
0.48,0.49,0.47,0.19,black,80.0,interpolate,2,200,200,white,draw_rectangle,71.png
0.5,0.46,0.73,0.14,black,35.0,interpolate,1,200,200,white,draw_rectangle,72.png
0.54,0.45,0.3,0.13,black,50.0,interpolate,3,200,200,white,draw_rectangle,73.png
0.49,0.46,0.47,0.1,black,65.0,interpolate,3,200,200,white,draw_rectangle,74.png
0.55,0.45,0.9,0.2,black,35.0,interpolate,1,200,200,white,draw_rectangle,75.png
0.53,0.45,0.47,0.1,black,160.0,interpolate,2,200,200,white,draw_rectangle,76.png
0.5,0.52,0.47,0.11,black,75.0,interpolate,2,200,200,white,draw_rectangle,77.png
0.5,0.46,0.3,0.16,black,145.0,interpolate,1,200,200,white,draw_rectangle,78.png
0.55,0.54,0.9,0.2,black,40.0,interpolate,3,200,200,white,draw_rectangle,79.png
